epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3428,1.58284,2.07199,1.96812,0.45822,0.40378,0.36208,0.1071,2.26943,2.16696,2.75804,0.000332768,0.000332768,0.0670559
2,42.0335,1.53733,1.90996,1.94199,0.56777,0.54839,0.55147,0.19026,2.05259,1.95234,2.42711,0.000665451,0.000665451,0.0340553
3,61.3641,1.52205,1.8692,1.92886,0.51291,0.48832,0.46363,0.12297,2.46051,1.92606,2.96002,0.000995534,0.000995534,0.00105203
4,80.6516,1.48964,1.80302,1.90195,0.51354,0.56841,0.52479,0.17253,2.16532,2.05206,2.59266,0.000991232,0.000991232,0.000991232
5,99.8304,1.45206,1.74319,1.86586,0.64645,0.65851,0.66937,0.2309,2.1201,1.5876,2.46817,0.000984449,0.000984449,0.000984449
6,119.034,1.4279,1.69028,1.83936,0.62239,0.61513,0.60654,0.23367,2.00898,1.61815,2.38841,0.000975773,0.000975773,0.000975773
7,138.342,1.39328,1.63716,1.8107,0.62817,0.63515,0.65416,0.22309,2.12309,1.50608,2.52616,0.000965239,0.000965239,0.000965239
8,157.517,1.38679,1.60672,1.80249,0.66172,0.67671,0.68705,0.28204,1.87879,1.41074,2.23803,0.000952889,0.000952889,0.000952889
9,176.675,1.37244,1.5702,1.78576,0.68392,0.68114,0.68197,0.26089,2.01669,1.3587,2.38226,0.000938772,0.000938772,0.000938772
10,195.984,1.35127,1.54083,1.76834,0.69227,0.7208,0.73723,0.29226,1.99769,1.41844,2.29305,0.000922942,0.000922942,0.000922942
11,215.247,1.34963,1.53275,1.75868,0.67245,0.67742,0.70181,0.25726,2.11804,1.38974,2.4676,0.000905463,0.000905463,0.000905463
12,234.498,1.33063,1.49425,1.74897,0.74579,0.6941,0.74498,0.27265,2.06314,1.29431,2.41262,0.000886404,0.000886404,0.000886404
13,253.716,1.32151,1.4794,1.7386,0.71597,0.71635,0.75004,0.30208,1.94663,1.29534,2.28403,0.000865839,0.000865839,0.000865839
14,272.991,1.32012,1.46538,1.73849,0.75454,0.74542,0.79576,0.34206,1.88483,1.18662,2.20468,0.000843851,0.000843851,0.000843851
15,292.38,1.29395,1.428,1.71366,0.72885,0.72358,0.75469,0.27259,2.09133,1.26954,2.47938,0.000820525,0.000820525,0.000820525
16,311.678,1.27747,1.41464,1.70941,0.71915,0.71779,0.74549,0.28079,2.10795,1.26987,2.44848,0.000795954,0.000795954,0.000795954
17,331.073,1.27888,1.38363,1.7021,0.74898,0.73016,0.78065,0.34412,1.8945,1.15856,2.22401,0.000770234,0.000770234,0.000770234
18,350.23,1.27022,1.37701,1.69611,0.73988,0.74352,0.80248,0.37849,1.75087,1.18527,2.04061,0.000743468,0.000743468,0.000743468
